country,distance
Afghanistan,11932580.45
Albania,9146807.16
Algeria,8769592.944
American Samoa,9631359.141
Andorra,7844922.997
Angola,12841319.15
Anguilla,3808635.48
Antarctica,14132520.57
Antigua and Barbuda,3994944.926
Argentina,9017651.792
Armenia,10546718.11
Aruba,3744876.06
Australia,15184481.06
Austria,8343950.367
Azerbaijan,10645993.03
Bahamas,2193301.182
Bahrain,12173566.74
Bangladesh,13227347.4
Barbados,4462094.935
Belarus,8565846.652
Belgium,7553906.574
Belize,2323118.058
Benin,10086594.87
Bermuda,2865853.003
Bhutan,12802760.15
Bolivia,6823104.194
Bosnia and Herzegovina,8788644.62
Botswana,14127057.13
Bouvet Island,13826010.24
Brazil,7316934.935
British Indian Ocean Territory,16371904.09
British Virgin Islands,3668082.937
Brunei,14414704.91
Bulgaria,9332654.481
Burkina Faso,9552235.902
Burundi,13338906.18
Cambodia,14084199.45
Cameroon,11082929.45
Canada,2261623.454
Cape Verde,7336934.746
Cayman Islands,2446080.535
Central African Republic,11855530.77
Chad,11014950.73
Chile,8466824.253
China,11647281.98
Christmas Island,16358020.81
Cocos [Keeling] Islands,16972564.42
Colombia,4222325.81
Comoros,15114221.48
Congo,11917220.47
Cook Islands,9326416.4
Costa Rica,3269037.099
Cote d'Ivoire,9517479.956
Croatia,8553882.598
Cuba,2444942.586
Cyprus,10420962.53
Czechia,8234396.421
Democratic Republic of Congo,12695763.83
Denmark,7487921.428
Djibouti,13048467.18
Dominica,4149960.429
Dominican Republic,3216312.059
Ecuador,4690735.607
Egypt,10976408.8
El Salvador,2677224.798
Equatorial Guinea,11304386.26
Eritrea,12567898.13
Estonia,8050654.829
Eswatini,14943000
Ethiopia,13143577.91
Falkland Islands,10490537.25
Faeroe Islands,6374716.695
Fiji,10669728.08
Finland,7823311.99
France,7665595.799
French Guiana,5687582.05
French Polynesia,8286813.821
French Southern Territories,18203990.99
Gabon,11590698.56
Gambia,8268747.359
Gaza Strip,10801273.83
Georgia,10260173.56
Germany,7861478.176
Ghana,9887879.876
Gibraltar,7719148.876
Greece,9408884.435
Greenland,4859892.198
Grenada,4373544.988
Guadeloupe,3977749.86
Guam,11563090.93
Guatemala,2430009.451
Guernsey,7175263.908
Guinea,8991899.309
Guinea-Bissau,8385913.906
Guyana,5176527.176
Haiti,3041081.639
Heard Island and McDonald Islands,18050699.15
Honduras,2607527.54
Hong Kong,12699526.44
Hungary,8652064.765
Iceland,5713534.307
India,13576677.18
Indonesia,14961838.9
Iran,11657902.49
Iraq,11135866.45
Ireland,6633133.57
Isle of Man,6818789.129
Israel,10860045.94
Italy,8619068.151
Jamaica,2772361.985
Japan,10150447.67
Jersey,7217468.954
Jordan,10981054.44
Kazakhstan,10395995.71
Kenya,13721918.4
Kiribati,8743297.773
Kosovo,9079345.525
Kuwait,11694329.97
Kyrgyzstan,11255389.59
Laos,13401340.92
Latvia,8165760.244
Lebanon,10668985.03
Lesotho,14817273.6
Liberia,9248242.086
Libya,10078413.56
Liechtenstein,8070144.428
Lithuania,8265579.422
Luxembourg,7694757.389
Macao,12744458
Madagascar,15850790.62
Malawi,14411492.38
Malaysia,15070494.47
Maldives,15390723.7
Mali,8988467.231
Malta,9163380.841
Marshall Islands,9803506.905
Martinique,4235440.902
Mauritania,8172575.897
Mauritius,16830576.67
Mayotte,15289604.93
Mexico,1632411.333
Micronesia,11554661.57
Moldova,9103055.903
Monaco,8158434.137
Mongolia,10478635.12
Montenegro,8980436.402
Montserrat,3986712.653
Morocco,7837652.074
Mozambique,14869788.54
Myanmar,13341043.25
Namibia,13614283.34
Nauru,10694513.3
Nepal,12733462.13
Netherlands,7506098.102
Netherlands Antilles,3832380.158
New Caledonia,12133260.95
New Zealand,12550022.43
Nicaragua,2889442.094
Niger,10000294.44
Nigeria,10649162.65
Niue,9950445.48
Norfolk Island,12419946.75
North Korea,10343295.14
North Macedonia,9206206.422
Northern Mariana Islands,11214956.65
Norway,7186814.578
Oman,12852654.52
Pakistan,12353579.48
Palau,12813549.25
Palestine,10802202.94
Panama,3513502.171
Papua New Guinea,13101167.29
Paraguay,7780536.045
Peru,5580340.687
Philippines,13216165.09
Pitcairn Islands,7631597.588
Poland,8279744.141
Portugal,7317499.558
Puerto Rico,3529025.738
Qatar,12255717.8
Reunion,16725654.3
Romania,9045865.199
Russia,8886096.375
Rwanda,13228887.83
Saint Helena,11237498.81
Saint Kitts and Nevis,3893996.59
Saint Lucia,4294450.081
Saint Pierre and Miquelon,3396473.466
Saint Vincent and the Grenadines,4341567.171
Samoa,9759484.062
San Marino,8467522.955
Sao Tome and Principe,11085057.42
Saudi Arabia,12089243.38
Senegal,8276950.426
Serbia,8976467.097
Seychelles,15371402.66
Sierra Leone,8905472.134
Singapore,15289904.25
Slovakia,8549993.874
Slovenia,8466651.573
Solomon Islands,11902339.56
Somalia,13880455.39
South Africa,14398743.72
South Georgia and the South Sandwich Islands,11633328.4
South Korea,10742654.67
South Sudan,12653000
Spain,7588925.1
Sri Lanka,15002015.43
Sudan,12096796.29
Suriname,5468782.441
Svalbard and Jan Mayen,6638218.497
Swaziland,14953121.66
Sweden,7667467.302
Switzerland,8011214.857
Syria,10752135.66
Taiwan,12241170.47
Tajikistan,11465187.29
Tanzania,13971605.59
Thailand,13871481.45
Timor,14805101.59
Togo,10003801.74
Tokelau,9403586.215
Tonga,10531600.37
Trinidad and Tobago,4527480.217
Tunisia,8970463.244
Turkey,10181664.51
Turkmenistan,11186700.23
Turks and Caicos Islands,2866459.697
Tuvalu,10187373.94
U.S. Minor Outlying Islands,10513966.35
U.S. Virgin Islands,3653890.237
Uganda,13172154.97
Ukraine,9158483.69
United Arab Emirates,12569102
United Kingdom,6830409.647
United States,0
Uruguay,8780558.986
Uzbekistan,11062822.32
Vanuatu,11670203.39
Vatican,8609570.089
Venezuela,4507978.135
Vietnam,13797931.32
Wallis and Futuna,10187920.76
Western Sahara,7809513.579
Yemen,13065898.74
Zambia,13844450.23
Zimbabwe,14330315.14
